endpoint,method,backend_action,ui_screen,ui_trigger,frontend_called,frontend_source
/sessions/{id}/feedback-learning/,POST,"Record human edits against AI text for the learning loop.","Feedback correction UI","Submit edited AI text",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/foundation-summary/,GET,"Return saved foundation summary and derived brand book payload.","Foundation summary page","Open foundation summary",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/generate-foundation-summary/,POST,"Generate structured summary from stage-1 foundation answers and save processing state.","Foundation summary page","Click generate foundation summary",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/generate-manifesto/,POST,"Generate manifesto for completed or locked session; may run sync or async.","Manifesto generation screen","Click generate manifesto",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/generate-social-content/,POST,"Generate social media content, reels, hashtags, and calendar from answers.","Social content generator","Click generate social content",no,""
/sessions/{id}/generate-summary/,POST,"Generate structured brand summary and brand book from all answers.","Brand summary page","Click generate summary",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/lock/,POST,"Lock the brand session to prevent edits.","Brand lock screen or session controls","Click lock brand",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/longitudinal-memory/,GET,"Return strategic positions, evolution history, and brand brain snapshot.","Longitudinal memory/history panel","Open memory/history view",no,""
/sessions/{id}/manifesto/,GET,"Fetch generated manifesto output.","Manifesto page","Open manifesto",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/manifesto/download/,GET,"Generate and return manifesto PDF download.","Manifesto page","Click download PDF",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/pilot-event/,POST,"Record a pilot validation or product-signal event for the session.","Telemetry-enabled UI actions","Action/event tracking",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/pilot-kpis/,GET,"Return session-level pilot KPI metrics.","Session KPI panel","Open pilot KPIs",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/rag-query/,POST,"Run a session-scoped RAG query.","Session AI chat/RAG panel","Submit AI query inside session",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/rag-query/stream/,POST,"Run a streaming session-scoped RAG query via SSE.","Session AI streaming chat","Start streaming AI query",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/start/,POST,"Move session from draft to in_progress.","Session intro/start screen","Click start session",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/unlock/,POST,"Unlock a previously locked session for editing.","Lock/unlock controls","Click unlock session",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/update-foundation-summary/,PUT,"Update the saved foundation summary and record learning from edits.","Foundation summary editor","Save edited summary",yes,"GodFather_frontend/src/services/authService.js"
